"","x"
"1","fish"
"2","tow"
"3","trip"
"4","Tail.Fin.bruised"
"5","X"
"6","Gills.bleached.LHS"
"7","Tow.Number"
"8","Fillet.pH.RHS"
"9","Body.Twitch.minor"
"10","Gonad.Conditon"
"11","Gonado.Somatic.Index"
"12","Comparison.Tow.Number"
"13","Fillet.Gaping.between.D1.D2.RHS"
"14","Gills.dark.red.RHS"
"15","Fillet.Gaping.within.D1.LHS"
"16","Fillet.Gaping.between.D1.V1.LHS"
"17","Fish.Number"
"18","Fillet.colour.straw.white.LHS"
"19","Gill.debris.RHS"
"20","Gills.flaring.LHS"
"21","Sample.Date"
"22","Anal.Fin.bruised"
"23","Gills.mucus.layer..Bloody.LHS"
"24","Gills.dull.red.LHS"
"25","Fillet.Colour.Translucent.RHS"
"26","Fillet.Twitch.belly.LHS"
"27","Fillet.colour.Patchy.RHS"
"28","Ease.of.scale.removal"
"29","Jaw.Gill.Twitch"
"30","Osmotic.damage.RHS"
"31","Fillet.Twitch.RHS"
"32","Pectoral.Fin.bruised.LHS"
"33","Eye.Iris.colour.LHS"
"34","Gills.dark.red.LHS"
"35","Eye.Cornea.LHS"
"36","Eye.Form.LHS"
"37","Fillet.Torry.2.RHS"
"38","Fillet.Twitch.full.fillet.LHS"
"39","Cold.damage.RHS"
"40","Fillet.Twitch.major.RHS"
"41","Gills.bright.red.LHS"
"42","Sample.date.time"
"43","Temperature.Internal"
"44","Outside.colour.Ventral"
"45","Fillet.Gaping.within.D3.LHS"
"46","Heart.Function"
"47","Eye.Pupil.RHS"
"48","Species"
"49","Anal.Fin"
"50","Fillet.Gaping.within.V2.LHS"
"51","Dorsal.Fin"
"52","Eye.Cornea.RHS"
"53","Gills.clear.mucus.layer.RHS"
"54","Gills.pale.red.LHS"
"55","Fillet.Twitch.belly.RHS"
"56","Fillet.Free.Blood.LHS"
"57","Pectoral.Fin.bruised.RHS"
"58","Fillet.colour.Opaque.white.LHS"
"59","Location"
"60","Fillet.colour.straw.white.RHS"
"61","Sex"
"62","Fillet.Bloodspot.RHS"
"63","Fillet.Torry.3.LHS"
"64","Vessel.name"
"65","Eye.Pupil.LHS"
"66","Gills.dull.red.RHS"
"67","Fillet.Irridescence.RHS"
"68","Rigor"
"69","Fillet.Gaping.within.D2.RHS"
"70","Time.Net.Onboard..Doors.Up."
"71","Fillet.bruising.LHS"
"72","Fillet.Torry.3.RHS"
"73","Eye.Form.RHS"
"74","Pectoral.Fin..LHS"
"75","Fillet.Twitch.tail.RHS"
"76","Pelvic.fin.LHS"
"77","Fillet.Twitch.minor.RHS"
"78","Gills.flaring.RHS"
"79","Fin.Twitch"
"80","Fillet.colour.Opaque.white.RHS"
"81","Date.Caught"
